,InvoiceDate,StockCode,Quantity,TotalPrice,Week,Weekday,Day,UnitPrice,Revenue,ProductCategory
46,18-01-2022 10:12,6140,57,627,3,Tuesday,18,11,681.7671792,Clothing
47,09-08-2020 04:18,7905,28,1232,32,Sunday,9,44,1290.975841,Automotive
48,01-04-2021 22:29,6604,27,1350,13,Thursday,1,50,1251.090065,Clothing
49,07-05-2020 13:58,2471,41,410,18,Thursday,7,10,427.1943326,Clothing
50,17-09-2021 01:20,2287,8,584,37,Friday,17,73,534.8417534,Books
51,11-08-2021 23:30,8016,16,16,32,Wednesday,11,1,14.84474808,Automotive
52,19-04-2020 18:26,9809,93,2511,16,Sunday,19,27,2446.780393,Food
53,03-10-2021 10:22,3042,91,7371,40,Sunday,3,81,7581.940842,Clothing
54,15-09-2022 16:50,9397,69,3933,37,Thursday,15,57,3605.414668,Food
55,15-08-2023 14:52,5761,6,414,33,Tuesday,15,69,419.1966726,Electronics
56,09-05-2020 19:37,8970,70,3500,18,Saturday,9,50,3306.246423,Electronics
57,29-04-2021 12:48,9655,49,4361,17,Thursday,29,89,4634.312346,Sports
58,27-08-2020 21:53,1705,93,5394,34,Thursday,27,58,5294.247101,Automotive
59,14-02-2023 17:15,9406,9,540,7,Tuesday,14,60,510.8484133,Jewelry
60,18-07-2020 04:25,4535,5,395,28,Saturday,18,79,359.2866461,Health & Beauty
61,03-06-2023 19:56,1231,41,328,22,Saturday,3,8,318.0001837,Electronics
62,25-02-2020 06:39,2730,85,1020,8,Tuesday,25,12,956.0062992,Sports
63,31-12-2020 12:24,9044,19,1254,52,Thursday,31,66,1209.206987,Clothing
64,28-09-2021 07:44,5044,88,8624,39,Tuesday,28,98,8955.783375,Electronics
65,02-11-2021 15:59,5383,14,1162,44,Tuesday,2,83,1262.684621,Electronics
66,01-02-2022 08:37,1262,16,608,5,Tuesday,1,38,638.8816027,Jewelry
67,16-12-2021 04:08,6927,14,1092,50,Thursday,16,78,1116.020044,Toys
68,30-03-2020 16:50,8410,95,9500,13,Monday,30,100,9370.214519,Jewelry
69,08-01-2022 12:18,3511,18,576,1,Saturday,8,32,526.166891,Food
70,31-12-2020 16:49,9150,25,575,52,Thursday,31,23,548.5411558,Electronics
71,21-03-2022 18:49,9518,77,2926,12,Monday,21,38,2920.648992,Food
72,12-05-2020 11:22,9125,94,9306,19,Tuesday,12,99,9466.530035,Health & Beauty
73,03-09-2020 00:33,7491,77,2618,35,Thursday,3,34,2614.95322,Jewelry
74,31-01-2020 12:57,9194,92,1748,4,Friday,31,19,1695.928159,Books
75,07-09-2020 12:52,7318,2,44,36,Monday,7,22,48.30240636,Health & Beauty
76,13-11-2022 02:51,2936,58,5046,46,Sunday,13,87,5324.014939,Electronics
77,19-07-2020 17:27,1364,82,2214,29,Sunday,19,27,2306.153934,Clothing
78,28-08-2023 01:09,9300,84,2100,35,Monday,28,25,2076.870088,Automotive
79,27-07-2020 06:26,7220,90,3870,30,Monday,27,43,3624.067021,Food
80,23-03-2020 00:16,1532,98,196,12,Monday,23,2,197.6758005,Jewelry
81,20-07-2022 07:37,7922,10,660,29,Wednesday,20,66,724.4028234,Home & Garden
82,23-08-2020 22:35,4581,31,2263,34,Sunday,23,73,2383.652673,Sports
83,31-07-2023 19:54,4266,11,330,31,Monday,31,30,341.7361794,Books
84,24-08-2020 07:54,4404,54,2538,34,Monday,24,47,2679.546408,Health & Beauty
85,29-03-2022 00:58,4697,45,3015,13,Tuesday,29,67,3160.856051,Electronics
86,28-10-2022 13:15,8523,77,3850,43,Friday,28,50,3558.628431,Jewelry
87,28-04-2023 03:59,3090,55,1485,17,Friday,28,27,1547.629437,Jewelry
88,29-09-2020 11:57,6175,94,4794,39,Tuesday,29,51,4999.690895,Jewelry
89,27-07-2022 08:06,9962,64,704,30,Wednesday,27,11,674.733336,Sports
90,13-03-2023 18:46,3486,72,432,11,Monday,13,6,393.3418445,Books
91,04-07-2022 23:54,9682,58,3480,27,Monday,4,60,3155.984654,Home & Garden
92,18-10-2022 10:53,7943,12,432,42,Tuesday,18,36,446.2845252,Home & Garden
93,04-06-2021 16:46,5489,70,3780,22,Friday,4,54,3773.588289,Clothing
94,04-07-2020 04:02,6603,19,399,26,Saturday,4,21,424.6456365,Books
95,28-07-2021 09:35,6769,94,7050,30,Wednesday,28,75,6390.365645,Electronics
96,28-09-2021 09:38,6226,87,435,39,Tuesday,28,5,467.7142474,Books
97,02-07-2020 05:48,1636,61,4148,26,Thursday,2,68,4327.923397,Electronics
98,16-09-2022 19:23,1914,33,3267,37,Friday,16,99,3483.054498,Home & Garden
99,20-08-2020 13:48,3442,34,2958,33,Thursday,20,87,2674.44471,Jewelry
100,17-12-2022 13:24,1226,4,60,50,Saturday,17,15,54.27123952,Sports
101,05-11-2021 06:33,6728,90,7290,44,Friday,5,81,7022.171123,Jewelry
102,28-07-2021 23:44,2467,53,3127,30,Wednesday,28,59,3125.194374,Books
103,20-09-2020 09:06,4578,47,846,38,Sunday,20,18,911.9210415,Home & Garden
104,21-05-2021 04:37,2519,58,812,20,Friday,21,14,735.0273735,Health & Beauty
105,03-08-2020 06:26,8519,44,1012,31,Monday,3,23,1067.032165,Food
106,06-09-2022 12:21,5263,47,2209,36,Tuesday,6,47,2278.238245,Electronics
107,04-11-2021 03:55,8729,3,156,44,Thursday,4,52,144.5174255,Food
108,06-06-2021 08:01,9683,14,1120,23,Sunday,6,80,1051.343816,Health & Beauty
109,04-10-2023 23:16,6423,15,1185,40,Wednesday,4,79,1113.0841,Home & Garden
110,10-05-2021 10:38,5070,32,1696,19,Monday,10,53,1621.152742,Clothing
111,21-02-2021 13:19,7867,28,2380,8,Sunday,21,85,2427.385969,Home & Garden
112,12-05-2023 14:11,8543,96,3456,19,Friday,12,36,3149.60261,Sports
113,19-11-2021 16:19,8415,59,3186,46,Friday,19,54,3494.558227,Sports
114,03-03-2020 10:37,7597,69,966,9,Tuesday,3,14,1038.187359,Automotive
115,12-03-2021 04:24,2841,60,2400,10,Friday,12,40,2407.941209,Sports
116,15-08-2021 09:45,5728,97,9215,33,Sunday,15,95,9227.401753,Electronics
117,04-07-2020 19:50,4482,99,2178,26,Saturday,4,22,2278.682871,Food
118,15-11-2021 10:20,9979,27,513,46,Monday,15,19,538.3821617,Toys
119,30-11-2022 10:29,6559,35,1820,48,Wednesday,30,52,1673.225603,Automotive
120,18-03-2021 18:23,2955,86,6966,11,Thursday,18,81,7369.684463,Home & Garden
121,31-05-2020 04:44,9206,92,3220,22,Sunday,31,35,3498.789892,Electronics
122,29-09-2021 02:19,6029,34,442,39,Wednesday,29,13,481.1344133,Home & Garden
123,09-11-2020 14:43,6660,34,408,45,Monday,9,12,415.1916933,Sports
124,09-04-2020 07:29,5221,26,2028,14,Thursday,9,78,2095.770663,Toys
125,06-07-2021 02:50,8067,82,2788,27,Tuesday,6,34,2564.188113,Home & Garden
126,22-07-2020 05:28,2963,70,5110,29,Wednesday,22,73,4694.965369,Clothing
127,10-03-2022 15:18,6819,51,2397,10,Thursday,10,47,2227.888531,Automotive
128,22-02-2020 23:17,6661,23,1886,7,Saturday,22,82,2048.573592,Toys
129,04-05-2022 16:17,3116,52,2860,18,Wednesday,4,55,2842.122385,Clothing
130,03-07-2023 07:20,2785,54,3240,27,Monday,3,60,2992.81579,Jewelry
131,17-07-2021 04:47,5683,54,3942,28,Saturday,17,73,3599.259892,Health & Beauty
132,21-08-2021 18:30,1084,75,2400,33,Saturday,21,32,2555.463041,Food
133,21-02-2023 12:41,4041,49,3136,8,Tuesday,21,64,2907.956783,Books
134,28-03-2023 02:17,9909,33,1716,13,Tuesday,28,52,1787.531298,Toys
135,16-04-2021 05:17,5116,55,2970,15,Friday,16,54,3095.57768,Books
136,24-03-2023 20:51,8941,27,2592,12,Friday,24,96,2778.932167,Electronics
137,02-10-2023 03:40,5547,9,621,40,Monday,2,69,570.1817368,Health & Beauty
138,01-08-2021 23:45,6269,2,196,31,Sunday,1,98,199.3180112,Toys
139,13-01-2022 23:16,8639,63,4536,2,Thursday,13,72,4112.504051,Home & Garden
140,17-08-2022 17:26,7461,57,2907,33,Wednesday,17,51,2836.584683,Toys
141,04-04-2020 21:18,9453,86,7654,13,Saturday,4,89,8137.780235,Jewelry
142,08-04-2022 08:55,2612,81,2187,14,Friday,8,27,2042.481909,Electronics
143,18-06-2021 18:26,6907,33,495,24,Friday,18,15,480.4391762,Books
144,27-07-2021 10:43,9205,41,1312,30,Tuesday,27,32,1406.268535,Jewelry
145,18-03-2021 21:24,9423,28,112,11,Thursday,18,4,110.2058057,Jewelry
146,14-01-2020 21:09,4462,34,2754,2,Tuesday,14,81,2752.717822,Clothing
147,06-02-2021 09:26,2214,11,594,5,Saturday,6,54,626.008223,Books
148,03-08-2023 11:58,6969,64,2368,31,Thursday,3,37,2374.837207,Home & Garden
149,09-08-2023 18:11,2112,51,969,32,Wednesday,9,19,905.2916896,Electronics
150,29-10-2020 08:32,7516,82,5412,43,Thursday,29,66,5548.762605,Jewelry
151,02-08-2023 04:56,9290,76,1824,31,Wednesday,2,24,1888.445771,Toys
152,29-04-2022 01:40,7972,44,2552,17,Friday,29,58,2422.526839,Automotive
153,10-06-2020 03:31,4593,20,340,23,Wednesday,10,17,371.9939441,Health & Beauty
154,28-06-2021 14:13,5419,29,1392,26,Monday,28,48,1332.126896,Toys
155,21-12-2021 19:22,5829,23,1863,51,Tuesday,21,81,1827.110943,Books
156,07-03-2020 17:45,4919,53,2067,9,Saturday,7,39,1928.699304,Clothing
157,02-04-2021 06:46,3302,4,248,13,Friday,2,62,230.6613175,Electronics
158,23-07-2020 12:52,2187,25,1350,29,Thursday,23,54,1331.322027,Automotive
159,12-01-2023 05:52,7677,48,2256,2,Thursday,12,47,2216.323824,Sports
160,12-03-2021 15:44,1889,72,4680,10,Friday,12,65,5146.436166,Food
161,15-04-2022 17:56,7216,69,5520,15,Friday,15,80,5741.886771,Automotive
162,17-05-2021 15:08,5334,54,1674,20,Monday,17,31,1579.86394,Sports
163,15-11-2022 09:20,4425,90,4050,46,Tuesday,15,45,4375.04984,Food
164,24-03-2020 05:22,4289,73,4745,12,Tuesday,24,65,5060.502496,Toys
165,19-09-2022 10:13,2608,58,3480,38,Monday,19,60,3630.556888,Food
166,13-11-2020 16:05,3195,67,3283,45,Friday,13,49,3012.77983,Electronics
167,03-02-2022 10:48,4925,78,6630,5,Thursday,3,85,6389.356702,Home & Garden
168,03-05-2023 09:03,8285,98,3430,18,Wednesday,3,35,3667.675142,Electronics
169,01-08-2020 11:57,5871,8,704,30,Saturday,1,88,762.3182934,Food
170,14-05-2023 20:52,4500,10,460,20,Sunday,14,46,503.7916998,Jewelry
171,05-05-2020 02:01,9821,13,884,18,Tuesday,5,68,803.893926,Electronics
172,26-06-2022 20:27,8041,51,1989,26,Sunday,26,39,2083.770923,Clothing
173,07-08-2022 07:41,1774,86,8514,32,Sunday,7,99,8329.868149,Toys
174,28-05-2021 18:41,8768,19,1558,21,Friday,28,82,1479.465583,Electronics
175,29-12-2021 06:22,1146,14,798,52,Wednesday,29,57,767.2968459,Books
176,03-01-2020 02:24,8207,7,679,0,Friday,3,97,695.0564142,Automotive
177,03-06-2022 23:58,8175,97,6790,22,Friday,3,70,6607.505684,Home & Garden
178,29-08-2023 15:35,6031,45,1080,35,Tuesday,29,24,1092.11606,Jewelry
179,06-06-2020 08:02,9972,32,704,22,Saturday,6,22,657.090365,Books
180,11-01-2022 17:06,2512,72,1800,2,Tuesday,11,25,1915.971901,Sports
181,25-04-2022 08:55,6551,25,2350,17,Monday,25,94,2511.949056,Food
182,24-05-2023 02:16,9976,62,372,21,Wednesday,24,6,347.0699943,Automotive
183,18-06-2023 23:51,2896,55,1485,25,Sunday,18,27,1614.864652,Jewelry
184,16-03-2023 03:56,1311,88,4136,11,Thursday,16,47,3798.569204,Clothing
185,21-08-2021 00:28,1695,14,546,33,Saturday,21,39,528.2118551,Books
186,23-05-2023 22:38,1984,85,4590,21,Tuesday,23,54,4842.735192,Jewelry
187,14-11-2021 20:56,2667,48,1392,46,Sunday,14,29,1439.408067,Sports
188,31-08-2021 01:45,1632,86,4386,35,Tuesday,31,51,4582.522475,Electronics
189,21-10-2020 00:10,1024,27,2565,42,Wednesday,21,95,2522.901093,Jewelry
190,31-07-2022 09:35,6102,74,3256,31,Sunday,31,44,3045.863867,Home & Garden
191,29-09-2023 07:56,8149,59,2419,39,Friday,29,41,2495.759851,Books
192,01-04-2023 09:37,9857,3,66,13,Saturday,1,22,69.91561065,Food
193,05-10-2022 23:16,6310,88,352,40,Wednesday,5,4,385.5348569,Electronics
194,28-08-2021 10:55,3156,27,1134,34,Saturday,28,42,1164.992912,Jewelry
195,26-08-2022 02:38,3957,55,3520,34,Friday,26,64,3466.441299,Health & Beauty
196,13-09-2022 20:19,4712,82,5166,37,Tuesday,13,63,5671.110949,Health & Beauty
197,03-03-2021 22:51,2504,91,1820,9,Wednesday,3,20,1663.519734,Home & Garden
198,03-02-2021 03:50,6197,98,2058,5,Wednesday,3,21,1875.461361,Toys
199,12-07-2022 16:38,8619,58,1624,28,Tuesday,12,28,1767.3228,Food
200,10-01-2022 05:38,4286,42,2478,2,Monday,10,59,2239.050164,Sports
201,01-03-2022 06:56,8325,20,40,9,Tuesday,1,2,41.15550458,Books
202,01-04-2021 18:20,2432,33,165,13,Thursday,1,5,172.7180202,Books
203,02-05-2021 05:51,8297,22,1056,18,Sunday,2,48,1034.671738,Health & Beauty
204,15-10-2022 05:35,9279,19,703,41,Saturday,15,37,742.362055,Automotive
205,18-06-2020 09:40,4831,24,1320,24,Thursday,18,55,1408.710199,Food
206,18-09-2023 18:44,6477,91,6734,38,Monday,18,74,6434.434391,Sports
207,28-04-2023 23:35,1066,43,1419,17,Friday,28,33,1539.922673,Home & Garden
208,01-11-2020 05:43,3351,45,450,44,Sunday,1,10,454.6110925,Sports
209,04-12-2021 04:50,8878,57,1083,48,Saturday,4,19,1019.954588,Jewelry
210,12-08-2022 15:15,3872,92,8096,32,Friday,12,88,7874.761963,Jewelry
211,28-06-2021 13:12,4413,55,55,26,Monday,28,1,51.66838641,Toys
212,03-05-2022 20:25,3951,7,574,18,Tuesday,3,82,568.6566712,Toys
213,17-05-2021 06:45,9381,38,2888,20,Monday,17,76,3098.403953,Food
214,11-12-2021 04:30,5673,23,1242,49,Saturday,11,54,1257.798803,Toys
215,19-09-2020 15:24,9291,4,160,37,Saturday,19,40,155.5859602,Health & Beauty
216,29-07-2023 11:02,2119,56,2296,30,Saturday,29,41,2258.873351,Sports
217,28-03-2021 02:47,4821,62,3720,13,Sunday,28,60,3646.595435,Health & Beauty
218,06-08-2021 20:50,5629,55,1430,31,Friday,6,26,1500.021791,Automotive
219,09-02-2020 18:06,9453,98,3528,6,Sunday,9,36,3370.272119,Jewelry
220,17-06-2023 20:19,7469,98,3332,24,Saturday,17,34,3463.950675,Clothing
221,04-10-2021 05:56,4713,76,4028,40,Monday,4,53,4359.58237,Toys
222,03-07-2023 04:07,1809,60,4740,27,Monday,3,79,4692.529,Toys
223,15-01-2020 11:42,4016,49,343,2,Wednesday,15,7,376.2369517,Jewelry
224,30-07-2021 03:44,8507,13,624,30,Friday,30,48,573.8075499,Health & Beauty
225,24-02-2020 22:39,1645,28,28,8,Monday,24,1,27.99133178,Electronics
226,17-05-2021 13:54,5352,22,792,20,Monday,17,36,768.2435038,Clothing
227,01-03-2020 04:06,8812,50,4650,9,Sunday,1,93,4321.963696,Food
228,21-08-2023 03:30,9705,80,7760,34,Monday,21,97,7134.941888,Clothing
229,11-07-2023 21:04,4141,10,50,28,Tuesday,11,5,53.22627576,Electronics
230,06-09-2021 16:56,6085,51,3468,36,Monday,6,68,3185.911422,Automotive
231,12-08-2020 21:55,1758,82,6314,32,Wednesday,12,77,5922.022856,Toys
232,19-08-2021 02:30,9736,47,2914,33,Thursday,19,62,3069.287204,Toys
233,13-07-2023 17:43,4945,40,1880,28,Thursday,13,47,2021.457832,Clothing
234,03-06-2023 23:53,3085,89,89,22,Saturday,3,1,89.21448594,Automotive
235,24-07-2022 19:25,3073,1,18,30,Sunday,24,18,17.92292454,Jewelry
236,25-04-2022 10:04,8416,25,1850,17,Monday,25,74,1789.776256,Books
237,19-12-2020 19:00,3696,99,7425,50,Saturday,19,75,7466.860756,Health & Beauty
238,27-03-2022 09:41,2001,86,8600,13,Sunday,27,100,8833.492441,Electronics
239,01-06-2023 12:59,8658,78,3822,22,Thursday,1,49,4092.439396,Clothing
240,22-03-2023 08:13,1468,94,7708,12,Wednesday,22,82,7669.604197,Clothing
241,16-09-2023 19:33,6326,25,2100,37,Saturday,16,84,2144.799693,Automotive
242,05-09-2023 22:33,5594,12,24,36,Tuesday,5,2,25.94298073,Automotive
243,19-09-2021 04:55,4628,15,420,38,Sunday,19,28,424.4672354,Electronics
244,06-07-2020 06:38,2745,45,90,27,Monday,6,2,87.28919937,Food
245,10-10-2022 16:09,2309,51,1836,41,Monday,10,36,1802.253832,Toys
246,20-03-2020 09:43,7294,74,7252,11,Friday,20,98,7028.880829,Food
247,17-08-2023 17:56,9715,99,7722,33,Thursday,17,78,7841.329892,Books
248,05-09-2022 22:45,9672,41,1394,36,Monday,5,34,1384.92747,Health & Beauty
249,08-07-2021 18:13,1561,42,3738,27,Thursday,8,89,3527.531658,Books
250,04-10-2020 04:15,1161,55,5115,40,Sunday,4,93,4986.443465,Automotive
251,20-07-2021 09:18,2856,56,2744,29,Tuesday,20,49,2800.544858,Toys
252,30-07-2020 13:50,8998,49,4802,30,Thursday,30,98,4828.597447,Food
253,19-01-2021 10:07,6741,54,216,3,Tuesday,19,4,204.4208732,Sports
254,02-03-2020 13:47,7159,78,3510,9,Monday,2,45,3772.653978,Toys
255,26-03-2022 05:03,4857,15,165,12,Saturday,26,11,174.1163006,Food
256,02-12-2021 13:03,1724,40,640,48,Thursday,2,16,703.3166796,Automotive
257,25-03-2023 21:57,1669,84,6468,12,Saturday,25,77,6924.997933,Electronics
258,25-04-2023 01:51,4600,76,152,17,Tuesday,25,2,160.0074198,Clothing
259,25-01-2023 07:40,9108,21,1470,4,Wednesday,25,70,1365.532232,Toys
260,10-11-2020 05:23,6213,69,3795,45,Tuesday,10,55,4169.247252,Health & Beauty
261,13-10-2021 03:18,7298,35,2240,41,Wednesday,13,64,2094.982377,Clothing
262,27-09-2022 05:23,3957,23,2231,39,Tuesday,27,97,2356.905869,Electronics
263,29-07-2023 02:22,2624,22,1804,30,Saturday,29,82,1945.944753,Health & Beauty
264,10-05-2022 14:27,1227,9,648,19,Tuesday,10,72,697.6594238,Sports
265,27-11-2020 18:13,1128,84,5376,47,Friday,27,64,5383.388802,Electronics
266,31-08-2021 12:14,8549,30,2190,35,Tuesday,31,73,2115.169397,Toys
267,07-11-2020 00:37,6577,50,2550,44,Saturday,7,51,2651.028759,Toys
268,07-05-2021 08:49,2530,34,1530,18,Friday,7,45,1512.14124,Clothing
269,16-09-2023 15:34,3195,8,144,37,Saturday,16,18,145.8738635,Home & Garden
270,16-11-2020 22:41,5585,42,2142,46,Monday,16,51,2283.816968,Automotive
271,18-02-2020 03:03,1263,88,6248,7,Tuesday,18,71,6718.123627,Automotive
272,19-08-2020 01:59,3062,45,405,33,Wednesday,19,9,401.8287046,Toys
273,19-06-2020 07:53,3840,31,31,24,Friday,19,1,28.22706505,Toys
274,18-08-2021 07:10,7037,64,2048,33,Wednesday,18,32,1974.776567,Sports
275,28-05-2021 05:38,8594,35,2415,21,Friday,28,69,2530.461895,Food
276,04-09-2020 11:32,3805,62,3162,35,Friday,4,51,3063.961639,Toys
277,23-01-2020 16:32,7027,19,1121,3,Thursday,23,59,1140.367645,Books
278,06-11-2021 01:07,4888,1,83,44,Saturday,6,83,83.61744199,Automotive
279,28-07-2020 03:27,6257,17,1479,30,Tuesday,28,87,1350.557823,Toys
280,10-09-2022 23:48,6274,86,4042,36,Saturday,10,47,4410.576963,Automotive
281,18-04-2020 23:00,2266,95,5130,15,Saturday,18,54,4959.69595,Electronics
282,05-10-2022 15:17,6650,32,1312,40,Wednesday,5,41,1204.144722,Books
283,01-07-2022 14:51,4460,78,3510,26,Friday,1,45,3411.273118,Jewelry
284,15-04-2023 22:33,9287,42,2520,15,Saturday,15,60,2344.733134,Health & Beauty
285,18-10-2021 11:59,2101,31,1550,42,Monday,18,50,1630.493768,Sports
286,23-11-2020 06:05,6055,75,3000,47,Monday,23,40,3131.030798,Electronics
287,03-06-2022 00:52,4721,38,2052,22,Friday,3,54,2151.514097,Books
288,22-11-2022 05:49,1906,13,1014,47,Tuesday,22,78,972.8097375,Jewelry
289,12-09-2023 20:36,8489,37,3589,37,Tuesday,12,97,3920.57851,Sports
290,29-05-2022 17:47,3312,17,510,22,Sunday,29,30,482.0659324,Sports
291,22-05-2020 11:12,2113,21,1848,20,Friday,22,88,1744.431277,Food
292,21-09-2023 03:31,4300,75,5625,38,Thursday,21,75,5145.327318,Automotive
293,03-11-2021 09:04,6631,11,407,44,Wednesday,3,37,371.5330842,Electronics
294,09-05-2023 12:50,2925,19,760,19,Tuesday,9,40,705.8896479,Food
295,31-01-2023 21:58,1166,69,3312,5,Tuesday,31,48,3175.030748,Sports
296,04-01-2021 09:54,2856,58,2088,1,Monday,4,36,1971.104796,Health & Beauty
297,28-07-2020 15:00,3346,55,4125,30,Tuesday,28,75,3828.95786,Sports
298,03-05-2021 15:39,9005,41,164,18,Monday,3,4,151.9073595,Automotive
299,06-12-2022 11:03,5582,56,3024,49,Tuesday,6,54,2958.594523,Electronics
300,14-11-2022 01:00,8991,94,8460,46,Monday,14,90,7814.213633,Books
301,13-10-2023 19:34,6682,86,6536,41,Friday,13,76,6655.198532,Health & Beauty
302,28-10-2022 01:44,9227,91,2821,43,Friday,28,31,2881.110123,Food
303,30-01-2021 04:32,7331,41,1189,4,Saturday,30,29,1233.143134,Home & Garden
304,28-10-2021 11:10,6749,65,4680,43,Thursday,28,72,4849.971325,Health & Beauty
305,07-11-2021 04:34,8492,89,1068,45,Sunday,7,12,1121.528911,Health & Beauty
306,06-09-2021 15:26,9797,36,612,36,Monday,6,17,602.1336958,Electronics
307,13-08-2023 01:42,8834,32,2016,33,Sunday,13,63,2044.570102,Home & Garden
308,05-01-2021 10:20,8380,22,1826,1,Tuesday,5,83,1798.584723,Clothing
309,01-01-2022 00:09,2611,10,910,0,Saturday,1,91,948.1699279,Automotive
310,16-02-2020 20:41,2412,85,2805,7,Sunday,16,33,2573.823189,Food
311,25-05-2023 08:52,3973,48,2400,21,Thursday,25,50,2182.441135,Automotive
312,06-05-2022 18:32,2997,22,1936,18,Friday,6,88,1829.150745,Books
313,19-12-2021 07:43,1682,26,702,51,Sunday,19,27,647.1516052,Home & Garden
314,20-06-2022 14:31,6059,45,4410,25,Monday,20,98,4710.640262,Automotive
315,27-03-2021 02:50,2135,30,2460,12,Saturday,27,82,2696.623188,Electronics
316,26-03-2022 10:18,2573,61,1830,12,Saturday,26,30,1861.244355,Sports
317,08-09-2020 15:25,2176,7,28,36,Tuesday,8,4,28.73530452,Toys
318,29-09-2020 04:49,2243,27,918,39,Tuesday,29,34,925.2527038,Automotive
319,02-02-2022 04:31,3815,46,2254,5,Wednesday,2,49,2308.552403,Toys
320,14-05-2022 03:23,9460,62,3844,19,Saturday,14,62,4201.275266,Electronics
321,05-11-2020 05:26,7163,84,504,44,Thursday,5,6,550.6937653,Health & Beauty
322,23-02-2023 01:31,1549,1,11,8,Thursday,23,11,11.79924557,Toys
323,19-09-2020 03:28,4296,42,3990,37,Saturday,19,95,4077.545384,Sports
324,21-01-2021 11:46,9571,1,61,3,Thursday,21,61,59.68264198,Food
325,11-04-2023 10:28,4616,1,94,15,Tuesday,11,94,96.22126212,Books
